INFO  - 2015-11-25 20:52:27.321; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2015-11-25 20:52:27.322; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2015-11-25 20:52:27.322; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2015-11-25 20:52:27.323; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2015-11-25 20:52:27.323; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2015-11-25 20:52:27.324; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2015-11-25 20:52:27.324; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2015-11-25 20:52:27.325; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2015-11-25 20:52:27.325; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/extraction/lib/xz-1.2.jar' to classloader
INFO  - 2015-11-25 20:52:27.327; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/dist/solr-cell-4.8.1.jar' to classloader
INFO  - 2015-11-25 20:52:27.328; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2015-11-25 20:52:27.329; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2015-11-25 20:52:27.329; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2015-11-25 20:52:27.330; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2015-11-25 20:52:27.330; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2015-11-25 20:52:27.331; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2015-11-25 20:52:27.331; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2015-11-25 20:52:27.332; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2015-11-25 20:52:27.333; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/dist/solr-clustering-4.8.1.jar' to classloader
INFO  - 2015-11-25 20:52:27.334; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2015-11-25 20:52:27.334; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2015-11-25 20:52:27.336; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/dist/solr-langid-4.8.1.jar' to classloader
INFO  - 2015-11-25 20:52:27.336; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2015-11-25 20:52:27.337; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2015-11-25 20:52:27.337; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2015-11-25 20:52:27.338; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2015-11-25 20:52:27.339; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/dist/solr-velocity-4.8.1.jar' to classloader
INFO  - 2015-11-25 20:52:27.395; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2015-11-25 20:52:27.398; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_48
INFO  - 2015-11-25 20:52:27.468; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2015-11-25 20:52:27.474; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2015-11-25 20:52:27.501; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
WARN  - 2015-11-25 20:52:27.557; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.IntField]. Please consult documentation how to replace it accordingly.
WARN  - 2015-11-25 20:52:27.559; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.LongField]. Please consult documentation how to replace it accordingly.
WARN  - 2015-11-25 20:52:27.562; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.FloatField]. Please consult documentation how to replace it accordingly.
